batch_id,tensile_strength_MPa,machine_temperature_C,cycle_time_sec,inter_failure_hours,defects_per_batch,surface_defects_per_m2,pass_fail,items_passed_per_lot50,sensor_voltage_V,raw_material_purity_pct,load_stress_MPa,humidity_pct
116,525.43,181.41,20.32,57.35,3,2,1,49,3.5285,99.326,327.55,42.21
117,519.38,183.4,125.26,83.64,3,1,1,46,3.795,97.713,309.27,44.05
118,498.96,178.04,14.51,111.49,4,4,1,49,3.3326,98.177,311.05,44.45
119,540.57,167.06,18.17,98.49,2,3,1,48,3.4255,97.468,297.31,47.03
120,533.53,183.66,54.3,79.96,2,2,1,50,3.2793,98.303,313.74,47.7
121,534.24,201.89,65.23,84.37,3,4,1,46,3.5646,99.144,353.59,44.24
122,503.63,190.49,119.28,23.29,3,3,1,50,3.6366,97.76,332.21,44.8
123,545.25,184.87,10.31,201.03,3,2,1,48,3.4892,99.027,308.33,29.47
124,494.77,183.16,71.98,93.64,2,3,1,47,3.3475,99.278,306.41,42.74
125,530.56,185.16,60.37,16.86,2,2,1,48,3.5725,97.182,301.72,52.15
126,559.43,188.83,2.97,174.37,4,3,1,48,3.5235,98.891,278.96,47.24
127,502.17,176.73,22.04,323.38,2,2,1,49,3.3027,97.638,299.38,39.63
128,509.81,192.8,14.96,353.19,2,3,1,46,3.4434,97.438,324.83,43.06
129,521.79,190.01,16.34,55.26,2,1,1,44,3.4611,98.503,289.5,42.02
130,510.94,190.03,183.21,17.47,1,1,1,48,3.7896,98.764,303.84,50.35
131,492.09,188.07,46.32,87.68,0,6,1,50,3.7096,97.987,285.4,49.84
132,521.23,185.14,56.91,14.34,2,0,1,50,3.6406,97.098,327.28,41.09
133,500.88,189.71,169.01,326.15,5,1,1,47,3.7333,99.272,281.99,45.05
134,528.52,189.14,21.31,24.34,4,3,1,47,3.6413,98.827,323.04,39.33
135,503.45,182.52,72.84,34.97,3,1,1,46,3.742,97.679,332.63,41.87
136,547.9,180.98,25.65,62.63,5,1,1,47,3.2327,98.242,302.89,42.05
137,505.9,185.71,91.65,57.98,0,1,1,45,3.4736,97.069,294.89,41.49
138,514.2,195.84,8.97,189.97,0,0,1,46,3.6481,97.848,320.45,46.83
139,534.64,176.33,132.77,73.13,3,1,1,46,3.55,98.306,345.25,51.75
140,497.84,174.73,11.11,22.47,0,2,1,48,3.3051,98.293,339.52,44.7
141,524.09,186.15,17.77,37.31,1,1,1,48,3.4043,97.52,308.38,39.73
142,543.53,185.36,63.51,85.39,1,2,1,48,3.3907,98.942,290.57,46.04
143,491.07,186.21,22.52,19.14,3,0,1,48,3.3568,97.747,304.89,46.05
144,523.32,186.71,42.17,113.5,3,1,1,47,3.4059,98.451,272.82,44.06
145,524.68,183.44,26.46,100.1,2,2,1,49,3.5089,97.679,297.77,54.3
146,534.07,195.43,61.03,150.51,2,0,1,47,3.7129,98.063,319.91,46.22
147,497.73,173.79,11.66,333.1,2,1,0,48,3.6452,97.519,301.91,47.87
148,496.23,179.2,2.71,292.0,0,4,1,47,3.7011,98.583,296.79,33.79
149,529.39,184.28,16.05,350.42,2,0,1,49,3.7302,98.064,308.78,40.19
150,525.35,173.5,28.94,33.68,4,1,1,48,3.4497,97.04,304.07,47.57
151,524.51,183.77,8.28,16.93,4,1,1,49,3.4076,97.07,326.62,46.42
152,526.24,196.63,19.72,43.19,5,1,1,46,3.2346,98.178,280.81,43.11
153,507.76,185.15,22.99,270.55,1,0,0,48,3.7583,97.458,321.58,47.27
154,524.18,186.61,2.66,429.3,3,2,1,49,3.2395,98.463,308.98,49.64
155,525.28,176.18,39.39,235.36,2,3,1,50,3.6447,98.02,319.55,42.64
156,507.14,180.69,97.07,13.99,1,2,1,47,3.4269,98.636,279.44,41.88
157,553.58,182.37,7.41,353.47,1,1,1,49,3.7693,99.381,329.43,43.72
158,528.53,182.78,40.99,66.06,2,3,1,43,3.4518,98.322,321.95,47.49
159,498.56,193.97,49.18,1.12,1,4,1,48,3.69,98.968,346.81,42.14
160,531.82,188.9,24.46,70.09,1,0,0,48,3.3696,98.883,291.68,49.26
161,502.46,177.22,54.34,5.66,2,1,0,47,3.3795,99.304,297.13,42.59
162,534.17,186.73,23.8,94.2,1,3,1,49,3.5573,97.535,270.75,42.2
163,540.85,188.49,31.61,49.6,4,2,1,46,3.7988,99.068,291.88,56.73
164,505.23,192.98,0.33,76.97,1,3,1,48,3.5105,99.264,341.55,38.83
165,537.34,196.06,52.95,113.97,1,0,1,43,3.7618,97.982,316.49,48.91
166,527.43,177.89,48.72,243.72,3,3,1,47,3.6717,97.785,294.02,35.97
167,534.8,179.32,1.76,130.13,3,2,1,46,3.6775,99.38,312.93,48.29
168,554.14,176.2,20.67,68.31,1,3,1,50,3.4616,98.569,308.65,58.46
169,515.58,183.36,173.91,205.39,2,2,1,48,3.4319,97.952,268.0,50.29
170,506.43,188.26,24.57,283.2,3,1,1,47,3.3152,98.98,271.98,51.69
171,503.99,191.91,31.37,15.31,2,0,1,47,3.7784,97.761,334.35,44.52
172,505.32,184.47,108.32,91.1,3,1,1,49,3.7756,97.441,326.21,49.71
173,518.61,182.76,56.85,40.17,3,4,1,48,3.6482,98.36,277.34,46.24
174,526.14,186.06,39.26,5.78,3,2,1,49,3.3778,98.416,307.21,55.13
175,524.98,179.15,71.93,132.51,2,5,1,47,3.3471,99.064,294.25,39.47
176,534.89,199.63,89.9,238.33,5,3,1,48,3.7932,98.143,333.95,50.94
177,520.23,173.75,27.47,21.34,3,1,1,48,3.2399,99.036,319.85,47.14
178,546.16,186.29,29.01,200.82,4,1,1,49,3.7061,97.778,285.7,40.44
179,515.24,199.17,21.95,230.4,1,3,1,48,3.4133,98.438,312.65,43.63
180,568.96,185.05,153.11,294.88,0,3,1,49,3.4513,97.521,309.1,37.0
181,531.26,183.67,53.76,36.99,3,3,1,44,3.6992,97.964,309.16,28.68
182,504.57,182.5,3.91,281.15,2,1,1,49,3.2544,99.144,298.78,39.0
183,500.72,183.74,89.44,46.4,2,1,1,45,3.4125,97.54,310.55,43.06
184,528.68,194.61,29.48,96.45,1,3,1,48,3.7712,99.026,291.28,45.41
185,515.98,169.52,3.21,6.22,5,0,1,48,3.6194,97.707,283.87,38.45
186,532.85,195.73,35.9,5.38,3,1,1,49,3.653,97.086,282.58,43.42
187,528.52,175.03,24.29,152.92,1,3,1,47,3.6545,97.275,286.92,46.18
188,518.69,183.13,94.58,70.54,6,2,1,47,3.2363,98.865,319.29,42.12
189,504.76,182.0,10.27,35.53,2,3,1,48,3.3219,97.655,319.89,39.6
190,492.73,189.12,78.81,25.35,0,2,1,50,3.4948,98.635,342.13,41.34
191,511.96,173.81,36.71,133.02,5,1,1,45,3.4209,98.748,304.97,51.68
192,535.42,188.24,2.53,0.05,0,2,1,44,3.4465,97.863,325.43,36.37
193,523.85,199.17,160.65,196.72,2,1,1,48,3.6689,98.187,311.04,50.77
194,497.58,175.46,32.34,9.91,3,5,1,47,3.2088,98.009,316.59,51.83
195,523.12,186.33,15.47,25.51,2,3,1,48,3.5963,99.368,327.78,43.22
196,526.94,180.37,28.52,58.58,2,1,1,48,3.2001,97.8,322.81,47.3
197,504.09,187.98,87.79,79.6,7,2,1,49,3.2378,97.458,312.39,41.1
198,522.77,185.13,16.37,52.62,2,3,0,48,3.445,97.914,296.5,46.34
199,521.05,180.51,9.63,46.41,5,3,1,46,3.7046,98.674,316.07,56.13
200,499.43,188.42,6.22,398.63,3,5,1,50,3.287,98.743,340.01,51.36
201,526.44,197.63,15.91,123.13,3,0,1,47,3.5328,99.31,313.86,42.48
202,530.09,183.66,68.15,2.85,2,1,1,46,3.6071,99.204,301.3,38.4
203,539.49,190.04,28.71,67.49,2,0,1,49,3.3377,97.721,328.07,43.53
204,538.97,175.95,11.61,249.54,2,4,1,49,3.5074,98.138,279.53,46.37
205,495.2,178.3,8.18,43.05,5,0,1,46,3.7468,98.868,302.08,48.61
206,503.12,188.31,18.21,11.92,2,1,0,49,3.5073,99.291,288.42,44.45
207,529.27,195.39,126.55,170.45,5,1,1,49,3.2944,97.843,307.33,53.93
208,529.25,187.49,18.91,111.77,5,2,1,48,3.5767,98.111,337.42,45.16
209,529.27,182.81,199.5,101.36,2,0,1,48,3.5553,99.249,324.1,42.62
210,589.35,185.0,29.88,6.61,3,3,1,46,3.2162,97.896,268.9,47.62
211,530.28,176.25,8.88,18.17,4,3,1,47,3.2544,98.201,296.39,48.5
212,540.44,189.23,99.8,116.92,3,2,1,48,3.2941,99.261,277.02,41.19
213,537.17,191.18,27.76,27.96,2,1,1,48,3.2818,99.006,333.28,40.31
214,531.73,181.84,55.65,84.16,6,3,1,45,3.3557,97.609,297.19,36.79
215,514.33,181.71,185.28,94.46,1,2,1,49,3.4725,97.812,311.67,43.56
216,533.66,186.86,2.32,40.01,3,2,1,49,3.423,97.882,312.73,51.08
217,506.09,181.94,4.58,355.77,3,2,0,44,3.7344,99.282,314.53,48.33
218,515.74,184.54,57.36,221.77,3,1,1,45,3.5673,99.497,246.36,50.62
219,511.26,199.7,14.9,153.78,2,4,1,49,3.7257,98.935,317.94,41.73
220,521.47,183.27,9.17,9.74,5,0,1,49,3.5162,98.211,297.93,44.18
221,561.66,182.49,1.81,13.46,2,1,0,48,3.2539,97.025,328.61,35.47
222,486.39,180.47,0.99,81.46,1,0,1,50,3.478,98.744,314.46,50.04
223,532.35,190.21,67.02,21.02,2,2,1,47,3.6932,97.973,323.9,51.71
224,490.97,183.73,6.5,459.46,1,5,1,49,3.3165,98.582,293.98,39.67
225,511.51,180.45,28.38,20.71,0,4,1,50,3.2547,98.517,285.16,53.13
226,539.6,194.25,41.9,80.21,3,1,1,48,3.3977,98.202,329.59,43.83
227,521.16,194.94,25.17,54.33,3,1,1,45,3.4333,99.361,322.39,39.58
228,500.6,180.8,1.24,122.39,4,3,1,48,3.3838,97.058,314.89,43.42
229,507.12,171.93,68.86,16.58,1,1,1,48,3.2811,98.78,314.86,48.14
230,532.23,192.05,0.48,67.52,3,0,1,42,3.3505,98.025,319.25,44.73
231,506.85,180.21,64.58,38.54,3,3,1,48,3.6094,98.784,281.57,42.11
232,523.9,190.53,100.7,262.44,0,1,1,48,3.4316,98.688,333.66,47.96
233,520.82,171.21,25.52,4.97,1,5,1,48,3.5795,97.026,306.61,48.42
234,508.27,191.25,34.51,294.03,4,4,1,49,3.5218,97.713,307.24,44.13
235,558.59,176.52,29.17,214.77,1,2,1,48,3.5294,97.473,300.8,43.22
236,531.41,190.12,22.18,42.39,2,1,1,48,3.3491,97.417,255.67,42.27
237,483.55,185.1,98.29,186.87,3,2,1,49,3.5129,98.821,322.65,47.39
238,523.36,178.32,100.97,3.81,1,3,1,49,3.2142,97.599,288.04,36.98
239,508.09,182.15,18.41,408.86,3,3,1,48,3.459,98.187,312.38,41.19
240,535.34,189.8,42.96,89.74,2,1,1,48,3.5436,97.617,291.96,44.19
241,505.73,185.74,117.72,43.36,5,2,1,50,3.3092,98.451,302.44,41.06
242,517.93,189.09,147.23,54.04,1,1,1,49,3.3539,98.801,301.22,46.27
243,529.09,198.84,32.01,8.25,1,5,1,45,3.3317,97.828,291.45,45.82
244,535.58,174.05,27.13,545.06,5,2,1,47,3.2423,98.508,305.03,57.4
245,498.39,196.32,14.7,4.81,0,2,1,50,3.4087,99.062,299.42,41.19
246,513.98,185.73,143.6,127.67,2,2,1,47,3.7874,97.236,287.11,44.94
247,511.45,178.71,6.93,70.17,2,2,1,50,3.4123,98.777,335.8,40.22
248,508.24,175.69,39.02,356.91,3,4,1,47,3.4763,97.808,292.37,54.7
249,551.78,183.68,14.94,33.88,1,0,1,47,3.5919,97.307,322.37,53.51
250,527.29,191.45,14.72,91.14,4,3,1,47,3.5891,98.364,324.7,37.16
251,497.3,184.11,23.36,79.02,4,0,1,47,3.7699,97.566,330.33,44.18
252,536.52,195.58,302.38,145.63,2,1,1,49,3.7145,99.053,298.0,45.18
253,558.2,174.84,2.54,8.45,2,7,1,47,3.6764,97.107,305.63,43.3
254,538.58,184.92,38.88,25.85,2,2,1,49,3.771,97.247,306.31,42.58
255,492.65,176.23,3.88,28.98,2,3,1,48,3.3385,98.302,321.6,48.85
256,511.28,187.55,7.55,160.8,5,1,1,45,3.5702,98.472,304.67,53.94
257,542.8,191.21,26.06,25.16,4,1,1,48,3.7323,98.825,320.09,49.04
258,507.26,182.05,32.14,102.25,0,2,1,44,3.5745,97.648,304.37,49.32
259,527.99,166.77,13.48,29.09,3,1,1,49,3.7865,99.104,334.58,43.23
260,533.94,186.39,17.12,237.33,3,0,1,48,3.2602,99.383,309.74,50.09
261,503.32,188.06,4.09,342.06,2,1,1,50,3.4636,98.248,307.09,50.07
262,518.93,187.83,16.26,87.7,2,1,1,47,3.7864,98.901,317.47,42.63
263,461.66,193.65,152.91,52.12,3,0,1,49,3.4277,98.312,345.98,43.83
264,501.56,177.5,130.28,32.0,6,2,1,49,3.6437,97.174,296.69,37.12
265,515.45,189.76,18.35,6.13,1,3,1,49,3.2182,97.815,332.87,38.24
266,497.54,193.35,38.07,37.52,0,2,1,47,3.6169,97.219,292.01,42.83
267,549.38,172.55,108.16,127.44,1,7,1,49,3.7608,99.472,310.96,39.65
268,494.26,187.24,0.28,91.53,1,2,1,46,3.4296,97.573,292.51,49.02
269,512.08,181.47,74.9,345.98,0,1,1,49,3.2128,98.59,301.83,44.21
270,522.35,184.43,133.36,60.56,1,5,1,50,3.2167,97.711,295.07,47.66
271,545.94,187.43,4.31,142.05,4,2,1,48,3.7352,98.633,325.36,38.9
272,494.15,181.59,7.92,80.64,1,1,1,44,3.6335,97.526,299.06,51.49
273,540.94,180.27,145.7,86.23,6,1,1,49,3.264,98.963,321.66,47.45
274,520.18,185.24,34.7,37.4,1,2,1,49,3.2328,97.277,298.41,47.02
275,502.33,177.39,0.64,72.83,2,1,1,47,3.6829,99.238,309.88,49.73
276,528.32,177.4,13.41,76.36,3,2,1,48,3.6859,99.101,342.07,46.59
277,523.58,189.76,26.9,147.16,0,3,1,47,3.2723,98.697,293.6,39.93
278,509.2,176.96,53.13,338.9,6,1,1,49,3.3809,97.169,294.02,48.13
279,521.26,189.66,59.45,47.94,4,1,1,48,3.668,97.521,304.58,41.06
280,513.06,188.24,242.39,5.17,1,4,1,49,3.5152,99.148,309.61,46.05
281,522.04,172.92,15.25,82.29,2,2,1,48,3.774,97.305,323.66,41.14
282,531.92,180.26,34.77,94.35,7,1,1,46,3.4886,97.39,310.95,53.31
283,548.55,193.36,34.3,22.13,2,1,1,46,3.6062,98.36,315.39,48.35
284,497.72,178.13,23.41,171.49,2,3,1,48,3.5059,97.685,284.6,50.04
285,558.39,181.75,8.34,503.4,5,3,1,45,3.7658,97.555,316.63,41.2
286,484.86,188.23,170.65,349.75,4,0,1,49,3.4392,98.44,317.22,46.49
287,517.27,190.48,86.38,26.34,1,1,1,49,3.3379,97.931,324.78,45.95
288,530.59,183.24,31.04,249.88,4,3,1,47,3.396,97.351,302.78,45.55
289,525.06,180.82,41.6,146.29,2,1,1,47,3.7117,98.337,309.85,35.31
290,508.79,194.96,11.6,72.58,5,3,1,50,3.4988,97.968,325.54,54.82
291,516.25,197.17,35.32,93.34,2,0,1,47,3.4126,98.836,286.71,44.81
292,511.13,191.85,53.43,227.33,1,2,1,48,3.5266,97.257,270.51,47.51
293,509.39,185.6,32.58,78.5,0,3,1,47,3.2799,98.552,285.6,38.43
294,535.29,179.34,208.53,56.06,2,4,1,46,3.2032,98.091,295.93,52.32
295,526.43,179.19,42.53,81.57,1,1,1,47,3.3684,98.015,333.59,51.9
296,507.53,188.66,20.86,103.85,1,2,1,50,3.563,97.581,354.64,49.27
297,536.19,187.93,66.56,25.15,1,0,1,47,3.627,97.076,289.99,46.36
298,525.53,194.81,8.41,277.4,3,0,1,47,3.696,99.119,308.15,56.68
299,534.63,189.55,21.84,134.57,6,1,1,49,3.756,97.816,298.41,49.92
300,531.33,174.48,19.18,120.38,2,1,1,48,3.4473,98.703,320.59,38.17
301,505.08,192.36,25.44,12.58,0,3,1,44,3.6443,99.369,316.16,46.12
302,509.92,178.01,68.5,111.21,1,2,1,48,3.2448,98.412,290.72,47.92
303,533.45,182.31,29.79,15.47,2,0,0,49,3.2345,97.993,296.33,45.53
304,530.99,186.75,71.1,9.84,5,2,1,49,3.2749,97.671,306.85,47.87
305,519.62,198.97,38.66,89.92,4,2,1,47,3.4691,99.335,337.07,52.21
306,522.11,206.77,18.84,61.86,1,4,0,45,3.3268,98.705,295.62,44.06
307,543.0,189.25,74.73,106.64,2,2,1,47,3.3722,98.663,275.87,43.1
308,509.35,183.72,12.25,11.21,4,5,1,48,3.5887,98.065,338.67,39.57
309,529.85,188.74,11.43,67.66,3,1,1,47,3.4151,99.113,320.94,35.67
310,516.36,191.21,31.6,23.05,2,2,1,47,3.5344,98.784,284.42,43.44
311,516.08,182.76,13.6,522.06,2,3,1,47,3.4474,97.708,316.74,41.61
312,539.78,197.57,0.41,98.83,2,1,1,49,3.3014,98.499,327.86,43.97
313,534.86,186.61,47.02,139.55,0,1,1,47,3.2444,98.075,312.06,42.07
314,534.64,188.48,32.2,47.24,5,4,1,48,3.3417,97.016,339.98,39.63
315,543.5,189.66,26.54,11.94,3,1,0,50,3.2346,99.019,322.22,42.25
316,520.38,187.95,153.46,446.92,3,1,1,48,3.5712,97.307,316.72,47.57
317,532.28,190.87,38.1,40.47,2,2,1,43,3.6774,98.275,314.49,42.32
318,514.42,180.68,89.59,66.16,5,2,1,48,3.4038,97.841,312.99,44.06
319,525.83,181.09,6.76,125.93,2,1,1,44,3.4323,97.855,329.32,55.47
320,517.66,177.3,37.9,3.0,2,3,1,49,3.6897,98.193,306.71,50.38
